job_posting_id,job_title,company_id,company,location_id,job_location,job_level,job_type
82,Clinical Data Steward,82,Steneral Consulting,82,Bloomfield  CT,Mid senior,Onsite
83,Senior Full-Stack Machine Learning Engineer- OPTIX,83,GA-CCRi,83,Charlottesville  VA,Mid senior,Onsite
84,SR FIELD APPLICATION ENGINEER- DATA & DEVICES,84,TE Connectivity,84,Silicon Valley  CA,Mid senior,Onsite
85,Senior Data Analysis Engineer,85,Nikola Corporation,85,Phoenix  AZ,Mid senior,Onsite
86,Technical Data Engineering Manager,86,SRS Distribution Inc.,86,McKinney  TX,Mid senior,Onsite
87,Staff Machine Learning Engineer  Series A,87,Recruiting from Scratch,87,Cincinnati  OH,Mid senior,Onsite
88,Principal Associate  Data Loss Prevention (DLP) Engineer,88,Jobs for Humanity,88,Charlottesville  VA,Mid senior,Onsite
89,Contractor - Epic Clarity Data Analyst,89,Deloitte,89,New York  United States,Mid senior,Onsite
90,Senior People Data Scientist,90,Atlassian,90,San Francisco  CA,Mid senior,Onsite
91,IT- Data Lifecycle Manager,91,LaBella Associates,91,Poughkeepsie  NY,Mid senior,Onsite
92,Senior Machine Learning Engineer,92,Jobs for Humanity,92,Waco  TX,Mid senior,Onsite
93,NCDHHS- Health Informatics Data Analyst,93,NR Consulting,93,North Carolina  United States,Mid senior,Onsite
94,Data Center Ops Analyst,94,NTT DATA Services,94,Quincy  WA,Mid senior,Onsite
95,Senior Battery Data Scientist,95,Factorial Energy,95,Billerica  MA,Mid senior,Onsite
96,Clinical Data Operator - Temp,96,Natera,96,Pleasanton  CA,Mid senior,Onsite
97,Lead Machine Learning Engineer (Bangkok based  relocation provided),97,Agoda,97,Oakland  CA,Mid senior,Onsite
98,Principal Machine Learning Engineer,98,Baker Hughes,98,Austin  TX,Mid senior,Onsite
99,Lead Data & Analytics Engineer,99,Northreach,99,London  England  United Kingdom,Mid senior,Onsite
100,Volunteer: NHQ:IT - Enterprise Web Services - Code4Good Volunteer - Data Scientist,100,VolunteerMatch,100,Washington  DC,Associate,Onsite
101,Lead Data Scientist,101,Infosys,101,Phoenix  AZ,Mid senior,Onsite
102,TT Assistant Professor - Data Science,102,University of New Haven,102,West Haven  CT,Mid senior,Onsite
103,Senior Manager  Machine Learning Engineering,103,Jobs for Humanity,103,Harrisonburg  VA,Mid senior,Onsite
104,Associate SAS Data Analyst (Placement),104,Celerion,104,Belfast  Northern Ireland  United Kingdom,Mid senior,Onsite
105,IIB  Datapower/APIC Lead Developer,105,Extend Information Systems Inc.,105,Richardson  TX,Mid senior,Onsite
106,Senior Database Administrator,106,Professional Diversity Network,106,Washington  DC,Mid senior,Onsite
107,Staff Machine Learning Engineer  Series A,107,Recruiting from Scratch,107,Boston  MA,Mid senior,Onsite
108,Database Engineer,108,Pierce,108,Melbourne  FL,Mid senior,Onsite
109,Data Engineer,109,Verigent,109,Washington  DC,Mid senior,Onsite
110,Enrollment Management CRM & Data Specialist,110,Harris-Stowe State University,110,St Louis  MO,Mid senior,Onsite
111,Summer Fellow - Project Management  Data Analytics  Strategy  Operations,111,Education Pioneers,111,Chicago  IL,Mid senior,Onsite
112,Senior Data Scientist  Product Growth,112,Jerry,112,Toronto  Ontario  Canada,Mid senior,Onsite
113,MLS Dayshift Lead - Short Pump Emergency Center,113,Bon Secours,113,Henrico  VA,Mid senior,Onsite
114,Azure Data Architect,114,VeeAR Projects Inc.,114,Sacramento  CA,Associate,Onsite
115,Senior Marketing Data Operations Specialist,115,Baker Tilly US,115,Houston  TX,Associate,Onsite
116,Clinical Data Analyst/Coordinator,116,LVIS,116,Palo Alto  CA,Associate,Onsite
117,Mechanical Supervisor - MLC 2312,117,Energy Jobline,117,Harwell  England  United Kingdom,Mid senior,Onsite
118,Commissioning Senior Specialist - Data Center (Travel Required),118,Olsson,118,Omaha  NE,Mid senior,Onsite
119,Manager  Data Engineering,119,Paramount+,119,Fort Lauderdale  FL,Mid senior,Onsite
120,Data Conversion & Integration Support Lead,120,Stevens Institute of Technology,120,Hoboken  NJ,Mid senior,Onsite
121,Sr. Data Scientist,121,ManTech,121,Sterling  VA,Mid senior,Onsite
122,Data Security Analyst,122,Robert Half,122,Plano  TX,Mid senior,Onsite
123,Data Analytics Audit Project Manager,123,U.S. Bank,123,Atlanta  GA,Mid senior,Onsite
124,Head of Data Science - Actuary/Risk,124,Harnham,124,Buffalo-Niagara Falls Area,Mid senior,Onsite
125,Data Scientist,125,iTech Solutions,125,San Jose  CA,Mid senior,Onsite
126,Principal Technical Data Analyst,126,Intuit,126,Mountain View  CA,Mid senior,Onsite
127,Canvas Consultant (Member Service Specialist) - Littleton  NMLS,127,Canvas Credit Union,127,Littleton  CO,Associate,Onsite
128,Manager  Data - Corrugated Products,128,WestRock Company,128,Atlanta  GA,Mid senior,Onsite
129,Data Scientist,129,Anika Systems,129,Leesburg  VA,Mid senior,Onsite
130,Sr. ML Software Engineer  AI Platform,130,Rivian,130,Palo Alto  CA,Mid senior,Onsite
131,Data Entry Specialist,131,Fōcus - an Ōnin Group company,131,Louisville  KY,Associate,Onsite
132,Manager of Supply Chain Data Analytics,132,Canada Goose,132,Toronto  Ontario  Canada,Associate,Onsite
133,Data Engineer ETL Expert (2021-0140),133,Acclaim Technical Services,133,Chantilly  VA,Mid senior,Onsite
134,Lead Data Engineer (FinOps),134,Jobs for Humanity,134,Harrisonburg  VA,Mid senior,Onsite
135,Data Center Engineer,135,Datacenter People,135,Manassas  VA,Mid senior,Onsite
136,Principal Clinical Data Scientist - Focus on Statistics,136,Boehringer Ingelheim,136,Ridgefield  CT,Mid senior,Onsite
137,Senior Data Engineering Advisor,137,Oil and Gas Job Search Ltd,137,Calgary  Alberta  Canada,Mid senior,Onsite
138,Environmental Data Management Specialist,138,Tetra Tech,138,Lafayette  CA,Mid senior,Onsite
139,Senior Database Developer,139,Aperia,139,Alpharetta  GA,Mid senior,Onsite
140,Medical Lab Scientist (MLS),140,McLaren Health Care,140,Flint  MI,Mid senior,Onsite
141,SENIOR BUSINESS DATA ANALYST,141,Jobs for Humanity,141,Camden  NJ,Mid senior,Onsite
142,Staff Machine Learning Engineer  Series A,142,Recruiting from Scratch,142,Austin  TX,Mid senior,Onsite
143,Medical Technologist MT or MLT,143,Oculus Search Partners LLC,143,Columbus  OH,Mid senior,Onsite
144,Data Scientist,144,Keylent Inc,144,Roswell  GA,Mid senior,Onsite
145,Data Scientist with AL & ML,145,Saransh Inc,145,Los Angeles  CA,Mid senior,Onsite
146,Sr.Data Center Engineer,146,Dice,146,Denver  CO,Mid senior,Onsite
147,Senior BSA/AML Records Specialist,147,NBT Bank,147,Lakeville  CT,Mid senior,Onsite
148,Data Center Technician II,148,IDR  Inc.,148,Tacoma  WA,Mid senior,Onsite
149,Python Data Engineer,149,Logic20/20  Inc.,149,Denver  CO,Mid senior,Onsite
150,Data Control Clerk II,150,University of Rochester,150,Medicine  NE,Mid senior,Onsite
151,AWS Data Engineer,151,LTI - Larsen & Toubro Infotech,151,Hartford  CT,Mid senior,Onsite
152,Datacentre Technician,152,MFA Talent Services,152,London  England  United Kingdom,Associate,Onsite
153,Senior Data Scientist,153,Adobe,153,San Francisco  CA,Mid senior,Onsite
154,Traveling MEP Manager - MSG - Data Centers,154,Turner Construction Company,154,Detroit  MI,Mid senior,Onsite
155,Lead Data Scientist,155,ClickJobs.io,155,Montreal  Quebec  Canada,Mid senior,Onsite
156,Data Engineer - Mastery,156,Jobs for Humanity,156,Hartford  CT,Mid senior,Onsite
157,Data Engineer,157,Outdefine,157,Plano  TX,Mid senior,Onsite
158,Data Engineer/Analyst,158,SQUAD Techlab,158,Fremont  CA,Associate,Onsite
159,Staff Data Engineer,159,SIPE Education,159,San Francisco  CA,Mid senior,Onsite
160,Data Reporting and Analytics Consultant II / Biostatistician  Epidemiologic Research,160,Kaiser Permanente,160,Pasadena  CA,Mid senior,Onsite
161,Manager  Data Analyst,161,KPMG US,161,Orlando  FL,Mid senior,Onsite
162,Data Analyst,162,AVER  LLC,162,Washington  DC,Mid senior,Onsite
163,Senior Data Analyst,163,Level 11,163,Chesterfield  England  United Kingdom,Mid senior,Onsite
164,Data and Reporting Analyst,164,Talent,164,Melbourne  Victoria  Australia,Mid senior,Onsite
165,Data Analyst  Privacy - Kiewit Technology Group,165,Kiewit,165,Omaha  NE,Mid senior,Onsite
166,Staff Business Data Analyst,166,Intuit,166,Mountain View  CA,Mid senior,Onsite
167,Manager  Cyber Risk & Analysis (Machine Learning),167,Jobs for Humanity,167,McLean  VA,Mid senior,Onsite
168,Staff data engineer,168,bp,168,Greater Houston,Mid senior,Onsite
169,Data Manager,169,Harnham,169,Nottingham  England  United Kingdom,Mid senior,Onsite
170,Senior Data Analyst (On-site),170,HEPCO  Inc.,170,New York  NY,Mid senior,Onsite
171,Machine Learning Software Developer (Software Engineer 3) - 17346,171,Mission Technologies  a division of HII,171,Virginia Beach  VA,Mid senior,Onsite
172,Researcher for AI Application (CV/NLP/Data Mining),172,FEDML,172,Sunnyvale  CA,Mid senior,Onsite
173,Staff Machine Learning Engineer  Identity,173,Stripe,173,New York  United States,Mid senior,Onsite
174,Database Architect,174,PANGEATWO,174,Birmingham  AL,Mid senior,Onsite
175,Volunteer: website maintenance/content manager - Joomla required,175,VolunteerMatch,175,Mill Valley  CA,Associate,Onsite
176,Senior Data Scientist,176,Geisinger,176,Home  KS,Mid senior,Onsite
177,Python Data Engineer,177,Logic20/20  Inc.,177,Dallas  TX,Mid senior,Onsite
178,Sr. Data Architect,178,Job Juncture,178,Stamford  CT,Mid senior,Onsite
179,Data Architect,179,Dice,179,United States,Mid senior,Onsite
180,Cloud Data Architect,180,Onix,180,United States,Mid senior,Onsite
181,Data/CRM Specialist,181,Creative Circle,181,Schaumburg  IL,Associate,Onsite
182,Data Engineer,182,Scipher Medicine,182,Waltham  MA,Mid senior,Onsite
183,Data analyst,183,Stellar Professionals,183,Richmond  VA,Mid senior,Onsite
184,Data Engineer,184,Intelletec,184,Arlington  VA,Mid senior,Onsite
185,Senior  Data Engineer,185,Walmart,185,Sunnyvale  CA,Mid senior,Onsite
186,Data Scientist,186,AffiniPay,186,Austin  TX,Associate,Onsite
187,Sr. MLOps Engineer,187,Dice,187,Dallas  TX,Mid senior,Onsite
188,Database Manager,188,SAIC,188,Aurora  CO,Mid senior,Onsite
189,Senior Data Analyst,189,Monogram,189,Boston  MA,Mid senior,Onsite
190,Data Scientist,190,ADP,190,Alpharetta  GA,Associate,Onsite
191,AWS DATA ARCHITECT,191,Enfycon Inc,191,Newark  NJ,Mid senior,Onsite
192,Data Analyst I,192,Apex Systems,192,Oklahoma City  OK,Mid senior,Onsite
193,Sr Data Architect,193,Honeywell,193,Kansas City  MO,Mid senior,Onsite
194,Data Scientist,194,Intellectt Inc,194,Troy  MI,Mid senior,Onsite
195,Datacenter Analyst,195,Volt,195,Prineville  OR,Associate,Onsite
196,Data Analyst  TSS,196,SGS,196,Coffeyville  KS,Associate,Onsite
197,GCP Data Architect,197,CloudMR,197,Utica-Rome Area,Mid senior,Onsite
198,Big Data Lead,198,ERPMARK INC,198,Mason  OH,Mid senior,Onsite
199,Data Architect,199,Jobot,199,Santa Fe  NM,Mid senior,Onsite
200,Data Analyst IV,200,Dice,200,Cupertino  CA,Mid senior,Onsite
201,Data Scientist,201,Dezign Concepts,201,Chantilly  VA,Mid senior,Onsite
202,Data Analyst,202,Creditsafe,202,Cardiff  Wales  United Kingdom,Mid senior,Onsite
203,Lead Data Analyst,203,Dice,203,Columbia  SC,Mid senior,Onsite
204,Lead Data Scientist,204,Vistra Corp.,204,Irving  TX,Mid senior,Onsite
205,Teradata Architect,205,Dice,205,Hartford  CT,Mid senior,Onsite
206,Data Architect,206,Dice,206,Chicago  IL,Mid senior,Onsite
207,Teradata Architect,207,HCLTech,207,Hartford  CT,Mid senior,Onsite
208,Data Analyst III,208,WinMax,208,Cupertino  CA,Associate,Onsite
209,Data Analyst,209,Kforce Inc,209,Pleasanton  CA,Associate,Onsite
210,Data Engineer,210,iTech Solutions,210,Redmond  WA,Mid senior,Onsite
211,Data Analyst I,211,WinMax,211,Austin  TX,Associate,Onsite
212,Sr Data Scientist,212,Dice,212,United States,Mid senior,Onsite
213,Senior Database Architect #2028,213,Genius Road,213,Brownsville Metropolitan Area,Mid senior,Onsite
214,GSC Database Lead  MTCCS II,214,Athenix Special Missions (formerly VATC),214,Leavenworth  KS,Mid senior,Onsite
215,Data Center Senior Program Manager-Delivery of Network and Data Center Capacity Builds,215,Oracle,215,Ashburn  VA,Mid senior,Onsite
216,Neighborhood Branch Leader - Brighton  NMLS,216,Canvas Credit Union,216,Brighton  CO,Mid senior,Onsite
217,Cloud Data Architect,217,Infosys,217,Bellevue  WA,Mid senior,Onsite
218,Senior Datacenter Product Development Engineer,218,NVIDIA,218,Austin  TX,Mid senior,Onsite
219,Commissioning Senior Specialist - Data Center (Travel Required),219,Olsson,219,Dallas  TX,Mid senior,Onsite
220,Medical Technologist (MT MLT) - Core Lab - Middletown - Part-Time - Evenings,220,Kettering Health,220,Middletown  OH,Mid senior,Onsite
221,Staff Engineer  Test Data and Instrumentation,221,Rivian,221,Irvine  CA,Mid senior,Onsite
222,Data Editor (INDG),222,Bloomberg Industry Group,222,Arlington  VA,Mid senior,Onsite
223,Data Center HR Business Partner,223,Ada Infrastructure,223,Bellevue  WA,Mid senior,Onsite
224,Medical Technologist (MT/MLT) - Competitive Package,224,Connected Health Care,224,Columbus  IN,Mid senior,Onsite
225,NJDOH Database Manager/Administrator 3 - Badisa #: 20-01040,225,HireTalent - Diversity Staffing & Recruiting Firm,225,Trenton  NJ,Mid senior,Onsite
226,Manager  Product Manager -- Machine Learning Experience  Enterprise Platform Development Team,226,Capital One,226,Chicago  IL,Mid senior,Onsite
227,HIM Data Integrity Spec 1,227,Tampa General Hospital,227,Tampa  FL,Mid senior,Onsite
228,2023-61808 - Technical Writer - XML Documentation,228,General Dynamics Mission Systems,228,Pittsfield  MA,Associate,Onsite
229,Senior Data Architect,229,Apogee Enterprises  Inc.,229,Minneapolis  MN,Mid senior,Onsite
230,Travel Sales Consultant - Bromley,230,Flight Centre Travel Group,230,London  England  United Kingdom,Mid senior,Onsite
231,Lead Software Engineer  ML Platform - ST,231,Autozone Brasil Comercio De Autopecas,231,Seattle  WA,Mid senior,Onsite
232,Data & Analytics Partner,232,Powerlink Queensland,232,Brisbane  Queensland  Australia,Mid senior,Onsite
233,Machine Learning Research Scientist,233,Etched,233,Cupertino  CA,Mid senior,Onsite
234,Data Engineer 4,234,ASK Consulting,234,San Jose  CA,Mid senior,Onsite
235,Data Analyst,235,UNCOMN,235,Scott AFB  IL,Mid senior,Onsite
236,Senior Data Engineer,236,Tencent,236,Palo Alto  CA,Mid senior,Onsite
237,Data Architect,237,HexaQuEST Global,237,Bristol  CT,Mid senior,Onsite
238,Sr. Data Scienctist - Behaivior,238,Innovation Works,238,Pittsburgh  PA,Mid senior,Onsite
239,Sr. Data Scientist,239,Plymouth Rock Assurance,239,Boston  MA,Mid senior,Onsite
240,Sales Director - Data & AI,240,Accenture,240,Raleigh  NC,Mid senior,Onsite
241,Senior Data Scientist TS/SCI CI poly with Security Clearance,241,ClearanceJobs,241,Springfield  VA,Mid senior,Onsite
242,Data Science Manager,242,Coinbase,242,Glasgow  Scotland  United Kingdom,Mid senior,Onsite
243,Staff Machine Learning Engineer  Series A,243,Recruiting from Scratch,243,Medford  MA,Mid senior,Onsite
244,Sr. Data Engineer (Hybrid),244,Jobs for Humanity,244,Charlottesville  VA,Mid senior,Onsite
245,Senior Data Manager  FP&A,245,National Carwash Solutions,245,Grimes  IA,Mid senior,Onsite
246,Sr. AWS Data Engineer  Austin  TX or Charlotte  NC (Hybrid),246,Tek Hire Solutions,246,Charlotte  NC,Mid senior,Onsite
247,Privacy and Data Protection Legal Counsel,247,JDHuntr In-House Counsel Jobs,247,Menlo Park  CA,Mid senior,Onsite
248,Software Engineer - Data Transmission,248,ByteDance,248,San Jose  CA,Mid senior,Onsite
249,IT Specialist (DATAMGT),249,USDA,249,Indiana  United States,Mid senior,Onsite
250,Staff Machine Learning Engineer  Series A,250,Recruiting from Scratch,250,Newark  NJ,Mid senior,Onsite
251,Senior Data Analyst,251,Harnham,251,Bristol  VA,Mid senior,Onsite
252,ESRI Data Specialist,252,Advantis Global,252,Denver  CO,Mid senior,Onsite
253,Data Manager II,253,Frontage Laboratories  Inc,253,Secaucus  NJ,Mid senior,Onsite
254,Data Engineer,254,BlueScope,254,Wollongong  New South Wales  Australia,Associate,Onsite
255,Senior MLOps Engineer,255,Recruiting from Scratch,255,Evanston  IL,Mid senior,Onsite
256,Principal Big Data Architect,256,Dematic,256,Atlanta  GA,Mid senior,Onsite
257,Bioinformatics Scientist - Virology Drug Discovery and Data Analysis,257,CONFLUX SYSTEMS,257,San Mateo  CA,Mid senior,Onsite
258,Lab Scientist (MT/MLT/CLS/CLT) - 3:00AM-3:30PM  Weekend Days (Premium contr,258,Community Health Systems,258,Fort Wayne  IN,Mid senior,Onsite
259,Engineer - Machine Learning Track,259,Huawei Technologies Canada Co.  Ltd.,259,Waterloo  Ontario  Canada,Mid senior,Onsite
260,Customer Service Representative/Data Analyst/Data Entry Clerk Part Time,260,Ropesgray,260,Campbellton  New Brunswick  Canada,Mid senior,Onsite
261,Senior Azure Machine Learning Engineer,261,Dice,261,United States,Mid senior,Onsite
262,Senior Data Analyst (Product Team) (Bangkok Based  relocation provided),262,Agoda,262,Dallas  TX,Associate,Onsite
263,Data Analyst - I,263,Aditi Consulting,263,Hanover  PA,Mid senior,Onsite
264,Oracle 12c Database developer -locals,264,Steneral Consulting,264,Philadelphia  PA,Mid senior,Onsite
265,Senior Manager  Data Science,265,Medidata Solutions,265,New York  United States,Mid senior,Onsite
266,Manager  Data Engineering,266,Jobs for Humanity,266,York  PA,Mid senior,Onsite
267,Senior Machine Learning Engineer - Seattle in Seattle  WA  USA,267,Energy Jobline,267,Seattle  WA,Mid senior,Onsite
268,Dynamics 365 CE Sr. Developer (Remote) [NTT DATA],268,CareerBeacon,268,Vancouver  British Columbia  Canada,Mid senior,Onsite
269,Medical Technologist/MLT - Full Time *Sign On*,269,Mercy,269,Troy  MO,Mid senior,Onsite
270,Manager  Data Engineering,270,KOVR | CBS News Sacramento,270,New York  NY,Mid senior,Onsite
271,Specialist Solutions Architect - Data Engineering,271,Databricks,271,Denver  CO,Mid senior,Onsite
272,Marketing Data Analyst & Tableau Specialist,272,Jobot,272,Prairie View  IL,Mid senior,Onsite
273,Retail Sales Consultant - MLK,273,Super Star Car Wash,273,Los Angeles  CA,Mid senior,Onsite
274,Data Scientist/Senior Data Scientist,274,Coinbase,274,Boston  MA,Mid senior,Onsite
275,Manager ML & Data Science,275,Hire Simplified,275,Toronto  Ontario  Canada,Mid senior,Onsite
276,HR Data and System Analyst,276,Solicitors Regulation Authority,276,West Midlands  England  United Kingdom,Mid senior,Onsite
277,Day 1 Onsite : Sr. Big Data Engineer : Mason  OH   Atlanta  GA and Richmond  VA,277,SPAR Information Systems LLC,277,Mason  OH,Mid senior,Onsite
278,Marketing Data & Analytics Product Owner - Senior Directo,278,ClickJobs.io,278,Canton  MA,Mid senior,Onsite
